"market_language","cluster","query","intent","page_type_hypothesis","priority","search_volume","competition_or_difficulty","serp_pattern","top_competitors","notes","go_no_go"
"RU","SaaS","разработка сайтов для saas","commercial / mixed","service page","high","","","mixed: service pages, case studies, startup / SaaS development pages","saas-web.ru; sibdev.pro; onepix.ru; mypl.pro; sitemakers.ru","RU SERP шумный; head-term не выглядит как первая волна; нужен long-tail research","hold / long-tail only"
"RU","SaaS","сайт для saas","","service page","high","","","","","",""
"RU","SaaS","разработка сайта для saas продукта","","service page","medium","","","","","",""
"RU","SaaS","saas лендинг разработка","","service page","medium","","","","","",""
"RU","SaaS","сайт для стартапа разработка","","service page","medium","","","","","",""
"RU","SaaS","разработка сайта для стартапа","","service page","medium","","","","","",""
"RU","B2B","разработка b2b сайтов","commercial","service page","high","","","service pages, agency pages, B2B portal pages","wrp.ru; grampus-studio.ru; b2b-site.ru; 34web.ru; river-it.com","кластер рабочий, но выдача тяжелая; часто нужны цены, кейсы, функционал, отзывы","go later"
"RU","B2B","b2b сайт разработка","","service page","high","","","","","",""
"RU","B2B","разработка корпоративного сайта b2b","","service page","medium","","","","","",""
"RU","B2B","разработка b2b интерфейсов","","service page","medium","","","","","",""
"RU","B2B","сайт для b2b компании","","service page","medium","","","","","",""
"RU","Audit / Conversion","аудит сайта на конверсию","commercial","service page","high","","","service pages, audit landing pages, agency service pages","biarch.ru; seo-ready.ru; kadema.ru; qseo.ru","лучшее совпадение с текущим оффером; хорошие шансы для первой волны","go"
"RU","Audit / Conversion","редизайн сайта на конверсию","commercial / mixed","service page","high","","","service pages, redesign landing pages, direct-response pages","lp-prof.com; lred.ru; mediasense.ru; artskey.ru","кластер рабочий, но более агентский и маркетинговый; логичнее после аудита","go later"
"RU","Audit / Conversion","почему сайт не конвертирует","informational","article","high","","","articles, checklists, agency blogs, media posts","pr-cy.ru; darvindigital.ru; avigroup.pro; workspace.ru","сильная supporting article для audit-кластера; хороший верх воронки","go"
"RU","Audit / Conversion","сайт не приносит заявки","","article","medium","","","","","",""
"RU","Audit / Conversion","как увеличить конверсию сайта","","article","medium","","","","","",""
"RU","Audit / Conversion","разбор сайта на конверсию","","service page","medium","","","","","",""
"RU","Pricing","сколько стоит разработка сайта для saas","","article","medium","","","","","",""
"RU","Pricing","сколько стоит разработка b2b сайта","","article","medium","","","","","",""
"RU","Pricing","стоимость разработки корпоративного сайта","","article","medium","","","","","",""
"RU","Pricing","сколько стоит редизайн сайта","","article","medium","","","","","",""
"EN","SaaS","saas website development","","service page","high","","","","","",""
"EN","SaaS","website for saas company","","service page","medium","","","","","",""
"EN","SaaS","saas landing page development","","service page","medium","","","","","",""
"EN","SaaS","saas marketing website development","","service page","high","","","","","",""
"EN","SaaS","startup website development","","service page","medium","","","","","",""
"EN","B2B","b2b website development","","service page","high","","","","","",""
"EN","B2B","b2b web design and development","","service page","medium","","","","","",""
"EN","B2B","b2b website redesign","","service page","medium","","","","","",""
"EN","B2B","website for b2b company","","service page","medium","","","","","",""
"EN","Audit / Conversion","website conversion audit","","service page","high","","","","","",""
"EN","Audit / Conversion","conversion-focused website redesign","","service page","high","","","","","",""
"EN","Audit / Conversion","why my website does not convert","","article","medium","","","","","",""
"EN","Audit / Conversion","website redesign for conversions","","service page","medium","","","","","",""
"EN","Pricing","saas website development cost","","article","medium","","","","","",""
"EN","Pricing","b2b website development cost","","article","medium","","","","","",""
"EN","Pricing","website redesign cost","","article","medium","","","","","",""
